localite,lat,lng
beyla,8.6884098,-8.6435589
bo,7.9548114,-11.7643412
boffa,10.1808254,-14.0391615
boke,11.1864672,-14.1001326
bombali,9.2475837,-12.1632718
bomi county,6.7562926,-10.8451467
bong county,6.8295019,-9.3673084
bonthe,7.5257028,-12.5039922
conakry,9.6411855,-13.5784012
coyah,9.7086357,-13.3876116
dabola,10.7297806,-11.1107854
dakar,14.7645042,-17.3660286
dalaba,10.166667,-9.383333
dinguiraye,11.2899514,-10.7154228
district nord,13.4530632,-2.7994036
dubreka,9.7907348,-13.5147735
faranah,10.0451022,-10.7492466
forecariah,9.4344715,-13.0904353
freetown,8.4656765,-13.2317225
gbarpolu county,7.4952637,-10.0807298
grand bassa,6.2308452,-9.8124935
grand cape mount,7.0467758,-11.0711758
grand gedeh,5.9222078,-8.2212979
grand kru,4.7613862,-8.2212979
gueckedou,8.5649688,-10.1311163
kailahun,8.2802196,-10.5718086
kambia,9.1261664,-12.9176518
kankan,10.120923,-9.5450974
kayes,14.4367876,-11.4452717
kenema,7.8632147,-11.1957172
kerouane,9.2702601,-9.0073673
kindia,10.0406725,-12.8629885
kissidougou,9.1914538,-10.1143176
koinadugu,9.5168769,-11.36363
kono,8.7088732,-11.215202
kouroussa,10.6489229,-9.8850586
koutiala,12.3774106,-5.4725384
lagos,6.5243793,3.3792057
lofa county,8.1911184,-9.7232673
lola,7.8839866,-8.5860042
macenta,8.538294,-9.4728244
mamou,10.6043114,-12.7347706
margibi county,6.5151875,-10.3048897
maryland county,4.7258878,-7.7416703
mbao,15.8,-16.516667
montserrado county,6.5525815,-10.5296115
moyamba,8.1620514,-12.4351923
nimba county,6.8427612,-8.6600586
nzerekore,7.7478359,-8.8252502
pita,10.8170102,-12.9802004
port loko,8.7686886,-12.7853522
pujehun,7.3562993,-11.7210635
river gee county,5.2604894,-7.87216
rivercess county,5.9025328,-9.456155
rivers,4.8580767,6.9209135
selingue,11.616667,-8.233333
siguiri,11.4148113,-9.1788304
sinoe county,5.49871,-8.6600586
telimele,10.9089364,-13.0299331
tonkolili,8.9804274,-11.7947561
western area,8.3114983,-13.035694
western area rural,8.3114983,-13.035694
western area urban,8.4545561,-13.2432632
yomou,7.5696279,-9.2591571
